16/11/23 14:06:40 - DEBUG - Connessione con ('127.0.0.1', 40202) di tipo B, 390 bytes inviati
16/11/23 14:06:46 - DEBUG - Connessione con ('127.0.0.1', 51608) di tipo A, 9 bytes inviati
16/11/23 14:06:48 - DEBUG - Connessione con ('127.0.0.1', 51624) di tipo A, 56 bytes inviati
16/11/23 14:06:50 - DEBUG - Connessione con ('127.0.0.1', 51630) di tipo A, 29 bytes inviati
16/11/23 14:06:52 - DEBUG - Connessione con ('127.0.0.1', 51632) di tipo A, 11 bytes inviati
16/11/23 14:06:54 - DEBUG - Connessione con ('127.0.0.1', 51644) di tipo A, 8 bytes inviati
16/11/23 14:12:01 - DEBUG - Connessione con ('127.0.0.1', 57800) di tipo B, 390 bytes inviati
16/11/23 14:12:07 - DEBUG - Connessione con ('127.0.0.1', 59476) di tipo A, 9 bytes inviati
16/11/23 14:12:09 - DEBUG - Connessione con ('127.0.0.1', 59486) di tipo A, 56 bytes inviati
16/11/23 14:12:11 - DEBUG - Connessione con ('127.0.0.1', 59498) di tipo A, 29 bytes inviati
16/11/23 14:12:13 - DEBUG - Connessione con ('127.0.0.1', 59500) di tipo A, 11 bytes inviati
16/11/23 14:12:15 - DEBUG - Connessione con ('127.0.0.1', 59514) di tipo A, 8 bytes inviati
16/11/23 20:01:05 - DEBUG - Connessione con ('127.0.0.1', 37984) di tipo B, 390 bytes inviati
16/11/23 20:01:16 - DEBUG - Connessione con ('127.0.0.1', 44308) di tipo A, 9 bytes inviati
16/11/23 20:01:18 - DEBUG - Connessione con ('127.0.0.1', 44318) di tipo A, 56 bytes inviati
16/11/23 20:01:20 - DEBUG - Connessione con ('127.0.0.1', 44332) di tipo A, 29 bytes inviati
16/11/23 20:01:22 - DEBUG - Connessione con ('127.0.0.1', 44346) di tipo A, 11 bytes inviati
16/11/23 20:01:24 - DEBUG - Connessione con ('127.0.0.1', 44362) di tipo A, 8 bytes inviati
16/11/23 20:01:49 - DEBUG - Connessione con ('127.0.0.1', 47534) di tipo A, 9 bytes inviati
16/11/23 20:01:51 - DEBUG - Connessione con ('127.0.0.1', 47544) di tipo A, 56 bytes inviati
16/11/23 20:01:53 - DEBUG - Connessione con ('127.0.0.1', 47560) di tipo A, 29 bytes inviati
